               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.032027,            0.029118,                   0,             0.85846,             0.81587,             0.88046,             0.61014,            0.029209,            0.021589,                   0,           0.0092674,           0.0092674,           0.0092674
                  39,            0.032699,            0.029635,                   0,             0.86702,             0.79027,             0.87807,             0.61279,            0.029239,            0.021667,                   0,           0.0092476,           0.0092476,           0.0092476
                  40,            0.031671,            0.028758,                   0,             0.86105,             0.80021,              0.8766,             0.60908,            0.029426,            0.022128,                   0,           0.0092278,           0.0092278,           0.0092278
                  41,             0.03207,            0.029459,                   0,              0.8585,             0.80083,             0.87547,             0.60528,            0.029287,             0.02233,                   0,            0.009208,            0.009208,            0.009208
                  42,            0.032148,             0.02961,                   0,             0.85202,             0.81618,             0.87972,             0.61507,             0.02887,            0.021704,                   0,           0.0091882,           0.0091882,           0.0091882
                  43,            0.031969,            0.029021,                   0,             0.86426,             0.81356,             0.88208,             0.61623,            0.029051,            0.021845,                   0,           0.0091684,           0.0091684,           0.0091684
                  44,            0.031184,            0.028129,                   0,             0.88544,             0.79199,             0.87941,             0.61572,            0.028806,            0.021827,                   0,           0.0091486,           0.0091486,           0.0091486
                  45,            0.032019,            0.028376,                   0,             0.86968,             0.80175,             0.87895,             0.62117,             0.02867,            0.021517,                   0,           0.0091288,           0.0091288,           0.0091288
                  46,            0.031666,            0.029067,                   0,             0.86525,             0.81356,              0.8809,             0.62193,            0.028552,            0.021446,                   0,            0.009109,            0.009109,            0.009109
                  47,            0.031101,            0.028587,                   0,             0.87138,             0.81972,             0.88932,             0.63214,            0.028114,            0.021005,                   0,           0.0090892,           0.0090892,           0.0090892
                  48,             0.03154,            0.028545,                   0,             0.87481,             0.81653,             0.88453,             0.62303,            0.028656,            0.021312,                   0,           0.0090694,           0.0090694,           0.0090694
                  49,             0.03097,            0.028516,                   0,             0.87218,             0.80534,             0.87828,             0.62663,            0.028372,            0.021468,                   0,           0.0090496,           0.0090496,           0.0090496
                  50,            0.031084,             0.02914,                   0,             0.89456,             0.80182,             0.89111,             0.63652,            0.028047,            0.020945,                   0,           0.0090298,           0.0090298,           0.0090298
                  51,            0.031196,            0.028306,                   0,             0.87663,             0.80652,             0.88411,             0.62835,            0.028051,            0.021396,                   0,             0.00901,             0.00901,             0.00901
                  52,            0.030561,            0.027672,                   0,             0.88496,             0.81664,             0.89115,             0.64001,            0.027558,            0.020931,                   0,           0.0089902,           0.0089902,           0.0089902
                  53,            0.030365,            0.027842,                   0,             0.88077,              0.8157,              0.8828,             0.62918,            0.027889,            0.021146,                   0,           0.0089704,           0.0089704,           0.0089704
                  54,            0.030815,            0.028218,                   0,             0.88255,              0.8282,             0.89708,             0.63746,             0.02797,            0.020677,                   0,           0.0089506,           0.0089506,           0.0089506
                  55,             0.03041,            0.028197,                   0,             0.89465,             0.81348,             0.89187,             0.63606,            0.027699,            0.020778,                   0,           0.0089308,           0.0089308,           0.0089308
                  56,            0.030654,            0.027459,                   0,              0.8838,             0.79695,             0.88009,             0.62624,            0.028396,            0.021661,                   0,            0.008911,            0.008911,            0.008911
                  57,            0.030658,            0.027661,                   0,             0.89538,             0.81543,             0.89541,             0.64142,            0.027592,            0.020528,                   0,           0.0088912,           0.0088912,           0.0088912
                  58,            0.030124,            0.027416,                   0,             0.89637,             0.81561,             0.89878,             0.64446,            0.027322,            0.020493,                   0,           0.0088714,           0.0088714,           0.0088714
                  59,            0.029737,            0.027344,                   0,             0.88098,             0.81738,             0.88803,              0.6384,             0.02753,            0.020996,                   0,           0.0088516,           0.0088516,           0.0088516
                  60,            0.030311,            0.027328,                   0,             0.89498,             0.81818,             0.89603,             0.64564,             0.02716,            0.020661,                   0,           0.0088318,           0.0088318,           0.0088318
                  61,            0.029833,            0.026868,                   0,             0.89311,             0.83253,             0.90048,             0.65017,            0.027011,            0.020222,                   0,            0.008812,            0.008812,            0.008812
                  62,            0.029393,            0.026439,                   0,             0.89997,             0.81433,             0.89635,             0.64756,            0.027143,            0.020265,                   0,           0.0087922,           0.0087922,           0.0087922
