               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.036453,            0.032982,                   0,             0.82663,             0.75305,             0.82199,              0.5272,            0.033711,            0.024979,                   0,           0.0092674,           0.0092674,           0.0092674
                  39,            0.037039,            0.033469,                   0,             0.85778,             0.73106,             0.82886,             0.53164,            0.033586,            0.024778,                   0,           0.0092476,           0.0092476,           0.0092476
                  40,            0.035814,            0.032403,                   0,             0.84777,             0.74679,             0.83768,             0.54294,            0.033276,            0.024106,                   0,           0.0092278,           0.0092278,           0.0092278
                  41,            0.036647,            0.033267,                   0,             0.83651,              0.7529,             0.83263,             0.54051,            0.033002,            0.024214,                   0,            0.009208,            0.009208,            0.009208
                  42,            0.036616,            0.033327,                   0,             0.85852,             0.73986,             0.83812,             0.54357,            0.032719,            0.024361,                   0,           0.0091882,           0.0091882,           0.0091882
                  43,            0.036375,            0.032824,                   0,             0.84925,             0.75372,             0.84094,             0.54646,              0.0331,             0.02431,                   0,           0.0091684,           0.0091684,           0.0091684
                  44,            0.035467,            0.031826,                   0,             0.84248,             0.76168,             0.84137,             0.55327,             0.03274,            0.023913,                   0,           0.0091486,           0.0091486,           0.0091486
                  45,            0.036425,            0.032203,                   0,             0.85296,             0.75675,             0.84175,             0.55309,            0.032837,            0.023679,                   0,           0.0091288,           0.0091288,           0.0091288
                  46,            0.036067,            0.032869,                   0,             0.85363,             0.75484,             0.84558,             0.55719,            0.032454,             0.02353,                   0,            0.009109,            0.009109,            0.009109
                  47,            0.035445,            0.032507,                   0,             0.84866,             0.76466,              0.8485,             0.55971,            0.032186,            0.023385,                   0,           0.0090892,           0.0090892,           0.0090892
                  48,            0.036048,            0.032491,                   0,             0.84207,             0.76014,             0.83995,             0.54853,            0.032727,            0.023923,                   0,           0.0090694,           0.0090694,           0.0090694
                  49,            0.035254,            0.032322,                   0,             0.84955,             0.77555,             0.85222,             0.56501,            0.032157,             0.02335,                   0,           0.0090496,           0.0090496,           0.0090496
                  50,            0.035493,            0.033101,                   0,             0.85268,               0.764,             0.84966,             0.56071,            0.031929,            0.023373,                   0,           0.0090298,           0.0090298,           0.0090298
                  51,            0.035626,            0.032113,                   0,              0.8507,             0.76554,             0.85116,              0.5641,            0.032208,            0.023486,                   0,             0.00901,             0.00901,             0.00901
                  52,            0.035132,            0.031565,                   0,             0.85767,             0.76451,             0.85419,             0.56799,              0.0319,             0.02327,                   0,           0.0089902,           0.0089902,           0.0089902
                  53,            0.035004,            0.031798,                   0,             0.85186,             0.76938,             0.84622,             0.56128,            0.031921,            0.023623,                   0,           0.0089704,           0.0089704,           0.0089704
                  54,            0.034948,            0.031909,                   0,              0.8437,             0.76682,             0.85061,             0.56338,            0.031916,            0.023501,                   0,           0.0089506,           0.0089506,           0.0089506
                  55,            0.034981,            0.032284,                   0,             0.86099,              0.7681,             0.85587,             0.56903,            0.031756,            0.023254,                   0,           0.0089308,           0.0089308,           0.0089308
                  56,            0.035118,            0.031458,                   0,             0.84689,             0.77812,             0.85573,             0.56516,            0.032014,             0.02317,                   0,            0.008911,            0.008911,            0.008911
                  57,            0.035127,             0.03171,                   0,             0.86158,             0.77992,              0.8597,             0.57329,            0.031674,            0.023078,                   0,           0.0088912,           0.0088912,           0.0088912
                  58,            0.034816,            0.031358,                   0,             0.86166,             0.77575,             0.85684,              0.5714,            0.031722,            0.023147,                   0,           0.0088714,           0.0088714,           0.0088714
                  59,            0.034537,             0.03144,                   0,             0.86503,             0.77889,             0.85804,             0.57713,            0.031609,            0.022737,                   0,           0.0088516,           0.0088516,           0.0088516
                  60,            0.034798,             0.03134,                   0,             0.84699,             0.79179,              0.8577,             0.57678,            0.031491,            0.023079,                   0,           0.0088318,           0.0088318,           0.0088318
                  61,            0.034561,            0.030858,                   0,             0.84632,             0.78632,             0.85874,             0.57044,            0.031843,             0.02314,                   0,            0.008812,            0.008812,            0.008812
                  62,            0.034039,            0.030444,                   0,             0.86548,             0.77838,             0.85763,             0.57773,             0.03114,            0.022911,                   0,           0.0087922,           0.0087922,           0.0087922
                  63,            0.034414,            0.031127,                   0,             0.86783,             0.77812,             0.85907,             0.58145,            0.031238,             0.02265,                   0,           0.0087724,           0.0087724,           0.0087724
