               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.033094,            0.029461,                   0,             0.86737,             0.78762,             0.86323,             0.59104,            0.030194,            0.022325,                   0,           0.0092674,           0.0092674,           0.0092674
                  39,            0.033775,            0.029916,                   0,             0.86419,             0.79276,             0.87015,             0.58939,            0.030444,            0.022273,                   0,           0.0092476,           0.0092476,           0.0092476
                  40,            0.032345,            0.029084,                   0,             0.87052,             0.80072,             0.87637,             0.60291,            0.030151,             0.02205,                   0,           0.0092278,           0.0092278,           0.0092278
                  41,            0.033195,             0.02966,                   0,             0.87082,              0.7907,             0.87111,             0.59827,             0.02994,            0.022269,                   0,            0.009208,            0.009208,            0.009208
                  42,            0.033204,            0.029949,                   0,             0.86691,             0.80303,              0.8747,             0.60102,            0.029964,            0.022019,                   0,           0.0091882,           0.0091882,           0.0091882
                  43,            0.032907,             0.02918,                   0,             0.88043,             0.79611,             0.87171,             0.59937,             0.03006,            0.021802,                   0,           0.0091684,           0.0091684,           0.0091684
                  44,            0.032186,            0.028506,                   0,              0.8702,             0.79584,              0.8724,             0.60028,             0.02985,            0.021931,                   0,           0.0091486,           0.0091486,           0.0091486
                  45,            0.033117,              0.0287,                   0,             0.86737,             0.80586,             0.87227,             0.60088,            0.030035,            0.022072,                   0,           0.0091288,           0.0091288,           0.0091288
                  46,            0.032723,            0.029462,                   0,             0.88095,             0.79301,             0.87543,              0.6095,             0.02962,            0.021688,                   0,            0.009109,            0.009109,            0.009109
                  47,            0.032361,            0.029153,                   0,             0.88968,             0.79789,             0.88252,             0.61012,            0.029585,            0.021349,                   0,           0.0090892,           0.0090892,           0.0090892
                  48,            0.032709,            0.029266,                   0,             0.88907,             0.78351,             0.87819,             0.60904,            0.029548,              0.0218,                   0,           0.0090694,           0.0090694,           0.0090694
                  49,            0.032143,            0.029009,                   0,              0.8832,             0.79789,             0.88302,             0.60823,            0.029549,            0.021617,                   0,           0.0090496,           0.0090496,           0.0090496
                  50,            0.032244,            0.029653,                   0,             0.87645,             0.81073,             0.87681,             0.61479,            0.029077,            0.021536,                   0,           0.0090298,           0.0090298,           0.0090298
                  51,            0.032382,            0.028926,                   0,             0.88032,             0.80637,             0.88157,             0.61418,            0.029496,            0.021565,                   0,             0.00901,             0.00901,             0.00901
                  52,            0.031795,            0.028116,                   0,             0.88531,             0.80894,             0.88612,             0.61974,            0.029047,            0.021181,                   0,           0.0089902,           0.0089902,           0.0089902
                  53,            0.031656,             0.02825,                   0,             0.87247,             0.80303,               0.875,             0.61203,            0.029288,            0.021665,                   0,           0.0089704,           0.0089704,           0.0089704
